@relation 'Coh-Metrix-Port Projeto PLN-weka.filters.unsupervised.attribute.Remove-R1'

@attribute rotulo {0,1}
@attribute basic_counts_adjectives numeric
@attribute basic_counts_adverbs numeric
@attribute basic_counts_content_words numeric
@attribute basic_counts_flesch numeric
@attribute basic_counts_function_words numeric
@attribute basic_counts_sentences_per_paragraph numeric
@attribute basic_counts_syllables_per_content_word numeric
@attribute basic_counts_words_per_sentence numeric
@attribute basic_counts_nouns numeric
@attribute basic_counts_paragraphs numeric
@attribute basic_counts_sentences numeric
@attribute basic_counts_words numeric
@attribute basic_counts_pronouns numeric
@attribute basic_counts_verbs numeric
@attribute logic_operators_and_incidence numeric
@attribute logic_operators_if_incidence numeric
@attribute logic_operators_or_incidence numeric
@attribute logic_operators_negation_incidence numeric
@attribute logic_operators_logic_operators numeric
@attribute cw_frequencies_cw_freq numeric
@attribute cw_frequencies_min_cw_freq numeric
@attribute hypernyms_hypernyms_verbs numeric
@attribute tokens_brunet numeric
@attribute tokens_honore numeric
@attribute tokens_mcu numeric
@attribute tokens_pronouns_per_np numeric
@attribute tokens_personal_pronouns numeric
@attribute tokens_ttr numeric
@attribute connectives_conn_incidence numeric
@attribute connectives_add_neg_conn_incidence numeric
@attribute connectives_add_pos_conn_incidence numeric
@attribute connectives_cau_neg_conn_incidence numeric
@attribute connectives_cau_pos_conn_incidence numeric
@attribute connectives_log_neg_conn_incidence numeric
@attribute connectives_log_pos_conn_incidence numeric
@attribute connectives_tmp_neg_conn_incidence numeric
@attribute connectives_tmp_pos_conn_incidence numeric
@attribute ambiguity_adjectives_ambiguity numeric
@attribute ambiguity_adverbs_ambiguity numeric
@attribute ambiguity_nouns_ambiguity numeric
@attribute ambiguity_verbs_ambiguity numeric
@attribute syntax_cross_entropy numeric
@attribute syntax_dep_distance numeric
@attribute syntax_frazier numeric
@attribute syntax_yngve numeric
@attribute semantic_density_content_density numeric
@attribute constituents_mod_per_np numeric
@attribute constituents_np_incidence numeric
@attribute constituents_words_before_main_verb numeric
@attribute anaphoras_adjacent_refs numeric
@attribute anaphoras_anaphoric_refs numeric
@attribute coreference_adj_arg_ovl numeric
@attribute coreference_arg_ovl numeric
@attribute coreference_adj_stem_ovl numeric
@attribute coreference_stem_ovl numeric
@attribute coreference_adj_cw_ovl numeric
@attribute lsa_adj_mean numeric
@attribute lsa_adj_std numeric
@attribute lsa_all_mean numeric
@attribute lsa_all_std numeric
@attribute lsa_paragraph_mean numeric
@attribute lsa_paragraph_std numeric
@attribute lsa_givenness_mean numeric
@attribute lsa_givenness_std numeric
@attribute lsa_span_mean numeric
@attribute lsa_span_std numeric

@data
0,35.714286,59.52381,591.269841,55.255893,384.920635,16,2.684564,15.75,357.142857,1,16,252,59.52381,138.888889,35.714286,0,7.936508,7.936508,51.587302,199613.7651,7999.8125,0.515152,10.667539,1244.362098,1.8125,0,0,0.678571,107.142857,3.968254,63.492063,0,35.714286,0,35.714286,0,27.777778,2.888889,2.25,2.055556,12.9,0.590897,57.875,7.3125,2.571608,1.536082,0.491667,383.395043,5.5625,0.066667,0.266667,0.4,0.275,0.866667,0.566667,0.533333,0.225564,0.171484,0.15479,0.15674,0,0,0.313782,0.17884,0.441337,0.185304
0,95.744681,47.87234,611.702128,21.532778,388.297872,9,3.243478,20.888889,335.106383,1,9,188,63.829787,132.978723,58.510638,0,0,15.957447,74.468085,176228.1826,446.555556,0.6,10.565852,868.314815,2.333333,0,0,0.670213,101.06383,5.319149,63.829787,5.319149,15.957447,15.957447,5.319149,0,10.638298,1.555556,1.888889,2.920635,8.388889,0.525523,82.666667,7.333333,2.879159,1.575342,0.618254,354.01474,7.222222,0,0,0.5,0.638889,1.25,1.027778,0.625,0.163228,0.108802,0.231437,0.184245,0,0,0.350877,0.1805,0.504028,0.256941
0,49.019608,49.019608,612.745098,71.088824,367.647059,12,2.344,17,382.352941,1,12,204,83.333333,132.352941,34.313725,0,0,0,34.313725,991583.84,655.083333,0.571429,11.138998,873.328907,1.916667,0.094156,9.803922,0.593137,73.529412,4.901961,39.215686,0,24.509804,0,19.607843,0,14.705882,7.2,2.7,1.897436,11,0.78823,89.333333,6.791667,2.347266,1.666667,0.354545,299.221478,3.166667,0.727273,2.636364,2.181818,0.80303,2.636364,1.227273,2,0.184483,0.200581,0.158967,0.166622,0,0,0.278169,0.153514,0.461845,0.104158
0,73.770492,16.393443,614.754098,9.76224,352.459016,6,3.373333,20.333333,442.622951,1,6,122,49.180328,81.967213,40.983607,0,0,0,40.983607,146679.0133,367.333333,0.625,9.494748,1877.723848,1.666667,0,0,0.811475,98.360656,0,65.57377,0,49.180328,0,32.786885,0,8.196721,1.111111,2,2.222222,6,0.544402,105.5,7.333333,2.815153,1.744186,0.55,512.30057,4.333333,0,0,0.2,0.066667,0.2,0.066667,0.2,0.065,0.068861,0.067912,0.085198,0,0,0.085816,0.073309,0.158285,0.068312
0,96,32,592,33.447567,408,6,3.013514,20.833333,360,1,6,125,56,104,56,0,0,0,56,89076.25676,209.833333,0.545455,10.083155,868.719862,2.5,0,0,0.696,80,0,64,0,16,0,16,0,8,2.333333,3.75,3.155556,8,0.534209,82.166667,7.333333,2.646732,1.45098,0.390873,379.540149,3,0,0,1,0.466667,2.2,1.066667,1.6,0.240934,0.129085,0.160389,0.12406,0,0,0.221703,0.090593,0.290385,0.124906
0,56.497175,16.949153,519.774011,35.775028,468.926554,9,3.108696,19.666667,310.734463,1,9,177,96.045198,135.59322,50.847458,0,16.949153,5.649718,73.446328,175088.5543,6826.333333,0.5,10.547014,884.202818,1.666667,0.027778,5.649718,0.666667,96.045198,5.649718,73.446328,0,28.248588,0,28.248588,0,0,5.8,1,4.127273,11,0.448684,67.222222,6.888889,2.823742,1.108434,0.342593,447.028848,3.777778,0,0,0.375,0.5,1.125,0.888889,0.5,0.309543,0.053239,0.297144,0.133867,0,0,0.423256,0.095614,0.487596,0.147057
0,39.325843,61.797753,629.213483,57.224382,359.550562,28,2.633929,12.714286,362.359551,1,28,356,56.179775,165.730337,19.662921,0,0,19.662921,39.325843,634763.1161,3933.464286,0.470588,11.506884,1000.953461,1.678571,0.009615,2.808989,0.573034,70.224719,16.853933,25.280899,2.808989,25.280899,11.235955,25.280899,0,0,6.142857,3.894737,1.612403,9.104167,0.718841,47.857143,6.482143,2.119868,1.75,0.324359,363.238547,4.321429,0.037037,0.111111,0.37037,0.23545,0.407407,0.399471,0.333333,0.097249,0.209056,0.065893,0.091661,0,0,0.173874,0.201274,0.382062,0.341648
0,47.222222,11.111111,563.888889,26.905,436.111111,18,3.26601,20,344.444444,1,18,360,55.555556,161.111111,50,0,5.555556,0,55.555556,277489.8374,1151.722222,0.566038,11.95083,942.323275,1.888889,0.019444,5.555556,0.522222,94.444444,0,55.555556,0,41.666667,0,36.111111,0,2.777778,2.470588,0.75,2.346774,7.191489,0.484676,79.111111,7.194444,2.725861,1.292994,0.671296,385.41729,4.888889,0.176471,1.058824,0.882353,0.673203,1.235294,0.888889,1,0.177896,0.139398,0.186182,0.166636,0,0,0.297985,0.162875,0.479236,0.246392
0,54.151625,46.931408,599.277978,47.428704,397.111913,19,2.849398,14.578947,346.570397,1,19,277,119.133574,151.624549,39.711191,3.610108,3.610108,3.610108,50.541516,244068.3193,3318.944444,0.527778,11.057231,1142.024324,1.894737,0.018162,3.610108,0.624549,97.472924,3.610108,54.151625,0,43.3213,3.610108,43.3213,0,3.610108,3.666667,2.142857,2.96875,10.710526,0,62.157895,7.105263,2.391354,1.509091,0.538889,0,2.526316,0.222222,1.166667,0.666667,0.426901,0.444444,0.298246,0.277778,0.162267,0.200763,0.127208,0.156857,0,0,0.209286,0.14916,0.391455,0.268312
0,76.452599,36.697248,581.039755,35.533195,412.844037,17,3.036842,19.235294,363.914373,1,17,327,55.045872,103.975535,55.045872,0,3.058104,12.232416,70.336391,983499.7105,1941.823529,0.833333,11.525817,1087.688098,1.352941,0.009242,6.116208,0.568807,103.975535,3.058104,67.278287,6.116208,30.58104,6.116208,21.406728,0,6.116208,2.36,2.444444,2.613445,7.75,0.644065,77.117647,6.705882,2.553533,1.407407,0.859375,413.269186,4.647059,0.3125,0.6875,0.6875,0.522059,1.0625,0.742647,0.8125,0.112083,0.129953,0.109877,0.177757,0,0,0.234793,0.1748,0.411647,0.28144
