@relation 'Coh-Metrix-Port Projeto PLN-weka.filters.unsupervised.attribute.Remove-R1'


@attribute basic_counts_adjectives numeric
@attribute basic_counts_adverbs numeric
@attribute basic_counts_content_words numeric
@attribute basic_counts_flesch numeric
@attribute basic_counts_function_words numeric
@attribute basic_counts_sentences_per_paragraph numeric
@attribute basic_counts_syllables_per_content_word numeric
@attribute basic_counts_words_per_sentence numeric
@attribute basic_counts_nouns numeric
@attribute basic_counts_paragraphs numeric
@attribute basic_counts_sentences numeric
@attribute basic_counts_words numeric
@attribute basic_counts_pronouns numeric
@attribute basic_counts_verbs numeric
@attribute logic_operators_and_incidence numeric
@attribute logic_operators_if_incidence numeric
@attribute logic_operators_or_incidence numeric
@attribute logic_operators_negation_incidence numeric
@attribute logic_operators_logic_operators numeric
@attribute cw_frequencies_cw_freq numeric
@attribute cw_frequencies_min_cw_freq numeric
@attribute hypernyms_hypernyms_verbs numeric
@attribute tokens_brunet numeric
@attribute tokens_honore numeric
@attribute tokens_mcu numeric
@attribute tokens_pronouns_per_np numeric
@attribute tokens_personal_pronouns numeric
@attribute tokens_ttr numeric
@attribute connectives_conn_incidence numeric
@attribute connectives_add_neg_conn_incidence numeric
@attribute connectives_add_pos_conn_incidence numeric
@attribute connectives_cau_neg_conn_incidence numeric
@attribute connectives_cau_pos_conn_incidence numeric
@attribute connectives_log_neg_conn_incidence numeric
@attribute connectives_log_pos_conn_incidence numeric
@attribute connectives_tmp_neg_conn_incidence numeric
@attribute connectives_tmp_pos_conn_incidence numeric
@attribute ambiguity_adjectives_ambiguity numeric
@attribute ambiguity_adverbs_ambiguity numeric
@attribute ambiguity_nouns_ambiguity numeric
@attribute ambiguity_verbs_ambiguity numeric
@attribute syntax_dep_distance numeric
@attribute syntax_frazier numeric
@attribute syntax_yngve numeric
@attribute semantic_density_content_density numeric
@attribute constituents_np_incidence numeric
@attribute constituents_words_before_main_verb numeric
@attribute anaphoras_adjacent_refs numeric
@attribute anaphoras_anaphoric_refs numeric
@attribute coreference_adj_arg_ovl numeric
@attribute coreference_arg_ovl numeric
@attribute coreference_adj_stem_ovl numeric
@attribute coreference_stem_ovl numeric
@attribute coreference_adj_cw_ovl numeric
@attribute lsa_adj_mean numeric
@attribute lsa_adj_std numeric
@attribute lsa_all_mean numeric
@attribute lsa_all_std numeric
@attribute lsa_paragraph_mean numeric
@attribute lsa_paragraph_std numeric
@attribute lsa_givenness_mean numeric
@attribute lsa_givenness_std numeric
@attribute lsa_span_mean numeric
@attribute lsa_span_std numeric
@attribute rotulo {'ensinofundamental','ensinomedio'}

@data
0.21851580269999998, 0.30581113942899996, 0.10833988516899999, 0.165326417161, 0.0, 0.0, 0.12113930584, 0.09997079572310001, 0.07800097658960001, 0.102969436087, 0.5625, 0.5588235294117647, 0.5625, 0.35294117647058826, 0.375, 0.052083333333333336, 0.02083333333333333, 0.5659722222222222, 39.233455882352985, 0.4340277777777778, 17.0, 3.0613496932515334, 16.941176470588232, 0.3506944444444444, 1.0, 17.0, 288.0, 0.10416666666666667, 0.1423611111111111, 0.02430555555555556, 0.0, 0.0, 0.003472222222222222, 0.027777777777777776, 475840.0061349693, 19042.823529411766, 0.7804878048780488, 11.115890552291932, 1018.0740995840533, 1.9411764705882355, 0.030863254392666163, 0.0140211640212, 0.770846560847, 0.059027777777777776, 0.0, 0.04513888888888889, 0.0, 0.013888888888888888, 0.0, 0.02083333333333333, 0.0, 0.013888888888888888, 1.3333333333333333, 2.0, 3.0777777777777784, 9.5, 35.29411764705883, 6.382352941176472, 2.627554700129223, 0.3673720713817663, 5.411764705882354, 0.25, 1.6875, 1.304, 'ensinofundamental'
0.272920150301, 0.480575781736, 0.209472470751, 0.245389264064, 0.0, 0.0, 0.19314038269699998, 0.141931438636, 0.177187805746, 0.158097043207, 0.48, 0.4523076923076923, 0.6, 0.2246153846153846, 0.36, 0.0639386189258312, 0.056265984654731455, 0.6138107416879796, 51.605232638205784, 0.3861892583120205, 26.0, 2.7041666666666666, 15.038461538461537, 0.329923273657289, 1.0, 26.0, 391.0, 0.0741687979539642, 0.1636828644501279, 0.03580562659846547, 0.0025575447570332483, 0.005115089514066497, 0.0025575447570332483, 0.04603580562659847, 759920.7875, 4796.692307692308, 0.3114754098360656, 11.376573328070453, 1032.4014326869744, 2.0, 0.031517094017094016, 0.00986301369863, 0.7480479452050001, 0.09974424552429667, 0.0025575447570332483, 0.056265984654731455, 0.0025575447570332483, 0.03324808184143223, 0.0025575447570332483, 0.03836317135549872, 0.0, 0.017902813299232736, 3.24, 3.533333333333333, 2.8684210526315788, 9.5, 33.69230769230769, 7.3076923076923075, 2.600046614320432, 0.4043244535072947, 4.846153846153847, 0.2, 0.6, 1.589404, 'ensinomedio'
0.279950429191, 0.490970580919, 0.200641211544, 0.314940917855, 0.0, 0.0, 0.23559794743, 0.18387944209100002, 0.23629214656800002, 0.25562813856100003, 0.5714285714285714, 0.6190476190476191, 0.8571428571428571, 0.4476190476190477, 0.7142857142857143, 0.06498194945848375, 0.05776173285198556, 0.5703971119133574, 27.906495788207003, 0.4296028880866426, 15.0, 3.2151898734177213, 18.466666666666665, 0.2743682310469314, 1.0, 15.0, 277.0, 0.10469314079422384, 0.17328519855595667, 0.018050541516245487, 0.0, 0.01444043321299639, 0.0036101083032490976, 0.04332129963898917, 240211.9240506329, 7123.0, 0.6756756756756757, 11.18687732829448, 1000.8209785434813, 2.2666666666666666, 0.06666666666666668, 0.0108426966292, 0.749269662921, 0.08664259927797834, 0.007220216606498195, 0.03971119133574008, 0.0, 0.03971119133574008, 0.007220216606498195, 0.036101083032490974, 0.0, 0.007220216606498195, 3.111111111111111, 2.9090909090909087, 2.9295774647887325, 7.767441860465117, 43.93333333333333, 7.333333333333332, 2.6558228665142853, 0.39568024782069017, 3.466666666666667, 0.0, 0.0, 1.327731, 'ensinomedio'
0.338063447256, 0.456330044164, 0.239214538683, 0.272171345064, 0.0, 0.0, 0.184439797212, 0.118222244023, 0.156541212836, 0.121348346646, 0.4090909090909091, 0.5335968379446641, 0.5, 0.2608695652173913, 0.3181818181818182, 0.08259587020648967, 0.035398230088495575, 0.6017699115044248, 43.711950750288594, 0.39823008849557523, 23.0, 2.872549019607843, 14.73913043478261, 0.2920353982300885, 1.0, 23.0, 339.0, 0.06784660766961652, 0.19174041297935104, 0.02654867256637168, 0.0, 0.011799410029498525, 0.0029498525073746312, 0.04129793510324484, 349274.07352941175, 7532.521739130435, 0.5084745762711864, 11.410812827502882, 1001.9590804884206, 2.0, 0.0, 0.0, 0.739458333333, 0.08259587020648967, 0.0029498525073746312, 0.038348082595870206, 0.0029498525073746312, 0.032448377581120944, 0.0029498525073746312, 0.035398230088495575, 0.0, 0.008849557522123894, 5.107142857142857, 3.3333333333333335, 3.3548387096774195, 8.732142857142858, 31.130434782608695, 6.891304347826087, 2.3188217895959222, 0.3120291182920481, 3.782608695652174, 0.0, 0.0, 1.511111111111111, 'ensinofundamental'
0.262923765751, 0.425999130032, 0.162342022303, 0.262752847084, 0.0, 0.0, 0.17578571519400002, 0.148608796095, 0.248976029289, 0.26458980344099997, 1.7333333333333334, 1.0583333333333331, 2.1333333333333333, 0.5583333333333333, 0.8666666666666667, 0.040404040404040414, 0.10774410774410774, 0.5892255892255892, 57.94557765151518, 0.4107744107744108, 16.0, 2.6342857142857143, 18.5625, 0.2222222222222222, 1.0, 16.0, 297.0, 0.101010101010101, 0.21885521885521889, 0.04713804713804714, 0.010101010101010102, 0.0033670033670033673, 0.037037037037037035, 0.09764309764309764, 766146.542857143, 20016.4375, 0.873015873015873, 11.582668555051546, 954.5990013643193, 2.6875, 0.09188675907425907, 0.0277777777778, 0.682373737374, 0.1414141414141414, 0.0, 0.07744107744107744, 0.0, 0.0707070707070707, 0.0, 0.07744107744107744, 0.0, 0.010101010101010102, 3.9166666666666665, 1.631578947368421, 2.234375, 10.365079365079367, 42.5625, 7.875, 2.4412079941266756, 0.3903023853081903, 5.5, 0.0, 0.6, 1.434426, 'ensinomedio'
0.304576422684, 0.45889133737099996, 0.12449467727499999, 0.14320874576, 0.0, 0.0, 0.13176883930400002, 0.0777749347056, 0.122799698449, 0.0914113997677, 0.15625, 0.2897727272727273, 0.3125, 0.25, 0.375, 0.045454545454545456, 0.048701298701298704, 0.5974025974025974, 55.32919913419917, 0.4025974025974026, 33.0, 2.782608695652174, 9.333333333333334, 0.3636363636363637, 1.0, 33.0, 308.0, 0.11038961038961037, 0.1396103896103896, 0.016233766233766232, 0.0, 0.006493506493506494, 0.003246753246753247, 0.025974025974025976, 790584.7445652173, 5983.030303030303, 0.6944444444444444, 11.569964140732505, 797.2579147306977, 1.3636363636363635, 0.03872053872053872, 0.0102870813397, 0.711387559809, 0.08441558441558443, 0.006493506493506494, 0.03571428571428571, 0.0, 0.042207792207792215, 0.0, 0.045454545454545456, 0.0, 0.00974025974025974, 3.2857142857142856, 2.4, 2.630434782608696, 8.6, 15.090909090909092, 7.0, 2.1146414956962083, 0.4661071271336327, 1.9090909090909087, 0.25, 0.65625, 1.483871, 'ensinofundamental'
0.196551451857, 0.522362841645, 0.173798445235, 0.386887451709, 0.0, 0.0, 0.18292899870299997, 0.229281770565, 0.215011814195, 0.339236425146, 0.2, 0.36666666666666653, 0.3333333333333333, 0.325, 0.2, 0.07540983606557378, 0.019672131147540985, 0.6032786885245902, 27.833447745901648, 0.39672131147540973, 16.0, 3.135869565217391, 19.0625, 0.3344262295081967, 1.0, 16.0, 305.0, 0.08852459016393442, 0.1737704918032787, 0.045901639344262286, 0.0, 0.003278688524590164, 0.0, 0.049180327868852465, 376152.8858695653, 9583.9375, 0.44680851063829785, 11.006209776201649, 1235.7799200853246, 1.9375, 0.015625, 0.00436893203883, 0.779854368932, 0.08852459016393442, 0.003278688524590164, 0.05901639344262295, 0.0, 0.026229508196721308, 0.0, 0.016393442622950817, 0.0, 0.0, 4.391304347826087, 1.5, 4.166666666666667, 8.279069767441861, 41.25, 6.90625, 2.681812008595325, 0.3763313970386339, 3.25, 0.2, 1.0666666666666669, 1.520661, 'ensinomedio'
0.239736661585, 0.480926874952, 0.141812588104, 0.22692650496800001, 0.0, 0.0, 0.140627529944, 0.123915886625, 0.17803391482500003, 0.195187231362, 0.3928571428571429, 0.3374384236453202, 0.5357142857142857, 0.270935960591133, 0.3928571428571429, 0.054878048780487805, 0.042682926829268296, 0.5853658536585366, 53.453170731707324, 0.4146341463414634, 29.0, 2.8072916666666665, 11.310344827586205, 0.3414634146341464, 1.0, 29.0, 328.0, 0.10060975609756098, 0.14634146341463414, 0.03048780487804878, 0.006097560975609756, 0.012195121951219513, 0.003048780487804878, 0.051829268292682924, 275090.16666666674, 7022.2758620689665, 0.5333333333333333, 11.829598544983744, 759.0998666371448, 1.5172413793103448, 0.0632183908045977, 0.0196069868996, 0.715851528384, 0.09146341463414634, 0.006097560975609756, 0.051829268292682924, 0.0, 0.042682926829268296, 0.003048780487804878, 0.042682926829268296, 0.0, 0.009146341463414634, 2.833333333333333, 2.583333333333333, 3.2142857142857144, 9.1, 19.27586206896552, 7.086206896551723, 2.232956701663598, 0.36706760256235504, 3.724137931034482, 0.17857142857142858, 0.7857142857142857, 1.411765, 'ensinofundamental'
0.279774879679, 0.323337816711, 0.146321711936, 0.160124446146, 0.0, 0.0, 0.175453889177, 0.103021217688, 0.150060348235, 0.15586488588, 1.0769230769230769, 0.9560439560439561, 1.6923076923076923, 0.7362637362637363, 1.0, 0.04229607250755287, 0.021148036253776436, 0.5740181268882175, 41.06891993957706, 0.4259818731117825, 14.0, 2.8105263157894735, 23.642857142857142, 0.338368580060423, 1.0, 14.0, 331.0, 0.08761329305135952, 0.17220543806646527, 0.030211480362537766, 0.006042296072507553, 0.00906344410876133, 0.006042296072507553, 0.054380664652567974, 430007.2052631579, 7943.5, 0.37254901960784315, 11.610418036881493, 914.0552526441332, 2.7857142857142856, 0.00641025641025641, 0.000215517241379, 0.727844827586, 0.13897280966767372, 0.006042296072507553, 0.054380664652567974, 0.0, 0.08761329305135952, 0.006042296072507553, 0.08761329305135952, 0.0, 0.00906344410876133, 5.071428571428571, 3.75, 2.55, 7.982142857142857, 71.92857142857143, 7.214285714285714, 3.1043342932760316, 0.39796421651637937, 7.714285714285714, 0.15384615384615385, 0.9230769230769231, 1.3475177304964538, 'ensinomedio'
0.19612445342999998, 0.44631329096199995, 0.151156580456, 0.220150015385, 0.0, 0.0, 0.156191765534, 0.11079529720100001, 0.158183392773, 0.159208865318, 0.5416666666666666, 0.5166666666666667, 0.7083333333333334, 0.2466666666666667, 0.3333333333333333, 0.09112709832134293, 0.04796163069544365, 0.6163069544364509, 38.96810935251801, 0.3836930455635492, 25.0, 2.9299610894941632, 16.68, 0.3597122302158273, 1.0, 25.0, 417.0, 0.05515587529976019, 0.11750599520383695, 0.05035971223021583, 0.0, 0.002398081534772182, 0.004796163069544364, 0.05755395683453238, 565318.5680933852, 5758.6, 0.8372093023255814, 11.618003307954321, 1021.8530614397653, 1.6, 0.006303030303030303, 0.00022012578616400003, 0.739528301887, 0.10071942446043164, 0.002398081534772182, 0.07194244604316546, 0.0, 0.03357314148681055, 0.0, 0.03117505995203837, 0.0, 0.007194244604316547, 3.1052631578947367, 2.6153846153846154, 3.233082706766917, 8.842105263157897, 35.56, 7.12, 2.6571119876145453, 0.3642680713104891, 4.44, 0.20833333333333331, 0.7916666666666666, 1.60625, 'ensinofundamental'
